iter	MultiClass
0	0.8948805174
1	0.747469729
2	0.6342780739
3	0.5439002469
4	0.4702164224
5	0.409030048
6	0.3575869032
7	0.3138521465
8	0.2763240332
9	0.2439284518
10	0.2157753093
11	0.1912415477
12	0.1697803859
13	0.1509999658
14	0.1344266778
15	0.1197768523
16	0.1068473172
17	0.09542210839
18	0.08523208779
19	0.07623593608
20	0.06819629751
21	0.06107928174
22	0.05471443513
23	0.04901006883
24	0.04392467651
25	0.03941496335
26	0.03537567645
27	0.03174533206
28	0.0285233171
29	0.02562081147
30	0.02301484004
31	0.02068137875
32	0.01859484851
33	0.01674314367
34	0.01506683333
35	0.01357698076
36	0.01224269709
37	0.01101550947
38	0.009949912394
39	0.009028552516
40	0.008178637602
41	0.007425151423
42	0.006743474211
43	0.006122115286
44	0.005533824063
45	0.005046922021
46	0.004562453513
47	0.004170503863
48	0.003790211613
49	0.003457006722
50	0.003181378994
51	0.002911454442
52	0.002650269958
53	0.002418468289
54	0.002238756431
55	0.002067136479
56	0.001893632552
57	0.001749281443
58	0.001622807072
59	0.001508097724
60	0.00139596608
61	0.001291475038
62	0.001211060154
63	0.001136582904
64	0.001070514497
65	0.001016160372
66	0.0009456228454
67	0.000894740395
68	0.0008387358882
69	0.0007989269977
70	0.0007599981214
71	0.0007303664231
72	0.0006941543735
73	0.0006561068591
74	0.0006229340745
75	0.0005940072342
76	0.0005664840792
77	0.0005353992391
78	0.0005062338677
79	0.0004819484733
80	0.0004611937123
81	0.0004457221671
82	0.0004281119011
83	0.0004097906793
84	0.0003958116664
85	0.0003854268592
86	0.000370709322
87	0.0003565873314
88	0.0003456888754
89	0.0003318602498
90	0.0003229461201
91	0.000310491734
92	0.000294123309
93	0.0002909268936
94	0.0002835049625
95	0.0002773741539
96	0.000267311179
97	0.0002596824516
98	0.0002553551465
99	0.0002467416735
100	0.000240613017
101	0.0002337621356
102	0.0002297633538
103	0.0002245226854
104	0.0002218662632
105	0.000215783521
106	0.0002103810603
107	0.000205479874
108	0.0002022006848
109	0.0001974346714
110	0.0001926298565
111	0.0001884585438
112	0.0001862735554
113	0.0001832017651
114	0.0001777104126
115	0.0001758403123
116	0.0001712762835
117	0.0001684418595
118	0.0001632133867
119	0.0001621600879
120	0.0001585606677
121	0.0001565334872
122	0.0001553012308
123	0.000153694608
124	0.000152735149
125	0.000151983218
126	0.0001511488875
127	0.0001473692592
128	0.0001459757437
129	0.0001424851645
130	0.0001382757742
131	0.0001373306953
132	0.0001359543177
133	0.0001342576246
134	0.0001331358128
135	0.0001325326301
136	0.0001300391698
137	0.0001274611234
138	0.0001257973681
139	0.000121989205
140	0.0001207887536
141	0.0001195250421
142	0.000118185341
143	0.0001173121901
144	0.0001162850477
145	0.0001151121342
146	0.0001127638867
147	0.0001105486844
148	0.0001090457968
149	0.0001078307995
150	0.0001069810809
151	0.0001059755593
152	0.0001052955738
153	0.0001024967089
154	0.0001015548395
155	0.0001006485184
156	0.0001001665161
157	9.96640539e-05
158	9.871592088e-05
159	9.669764437e-05
160	9.456586924e-05
161	9.33739391e-05
162	9.253004849e-05
163	9.122923892e-05
164	9.024282094e-05
165	8.905073392e-05
166	8.774753532e-05
167	8.634372744e-05
168	8.445214665e-05
169	8.305134187e-05
170	8.235820481e-05
171	8.125656384e-05
172	8.051858198e-05
173	7.971007977e-05
174	7.890873178e-05
175	7.854444344e-05
176	7.769887826e-05
177	7.716136831e-05
178	7.654608002e-05
179	7.588710372e-05
180	7.514326271e-05
181	7.468752653e-05
182	7.309419875e-05
183	7.181761457e-05
184	7.080304666e-05
185	7.031885834e-05
186	6.965743813e-05
187	6.937972902e-05
188	6.891768541e-05
189	6.85885814e-05
190	6.770795792e-05
191	6.741769488e-05
192	6.706146231e-05
193	6.654638201e-05
194	6.628088965e-05
195	6.581100556e-05
196	6.529172454e-05
197	6.50349571e-05
198	6.448214491e-05
199	6.391789076e-05
200	6.333505485e-05
201	6.295570606e-05
202	6.270697088e-05
203	6.215397544e-05
204	6.170148057e-05
205	6.138984525e-05
206	6.07140208e-05
207	6.012873504e-05
208	5.954039027e-05
209	5.868785725e-05
210	5.83425475e-05
211	5.815263253e-05
212	5.771136114e-05
213	5.670218326e-05
214	5.593043482e-05
215	5.511700661e-05
216	5.480510169e-05
217	5.447806836e-05
218	5.426606105e-05
219	5.393577682e-05
220	5.342400559e-05
221	5.28795485e-05
222	5.248683502e-05
223	5.19312148e-05
224	5.161601523e-05
225	5.115413745e-05
226	5.089683381e-05
227	5.062348504e-05
228	4.991890318e-05
229	4.955836753e-05
230	4.937189014e-05
231	4.916649377e-05
232	4.846263864e-05
233	4.811763679e-05
234	4.78220325e-05
235	4.741835374e-05
236	4.716538828e-05
237	4.66852784e-05
238	4.60533732e-05
239	4.573307007e-05
240	4.553586302e-05
241	4.521364285e-05
242	4.499814447e-05
243	4.482775232e-05
244	4.449749942e-05
245	4.422359006e-05
246	4.402436865e-05
247	4.366823353e-05
248	4.342674958e-05
249	4.311247465e-05
250	4.298059484e-05
251	4.281281975e-05
252	4.253328996e-05
253	4.237201793e-05
254	4.214135237e-05
255	4.184554369e-05
256	4.160903549e-05
257	4.151753157e-05
258	4.122349579e-05
259	4.084622576e-05
260	4.070456445e-05
261	4.048553041e-05
262	3.981479145e-05
263	3.927928323e-05
264	3.897386348e-05
265	3.886454136e-05
266	3.843902097e-05
267	3.810052558e-05
268	3.79770876e-05
269	3.778637414e-05
270	3.765603579e-05
271	3.751130325e-05
272	3.701449196e-05
273	3.687021361e-05
274	3.617145501e-05
275	3.598736867e-05
276	3.577591162e-05
277	3.56737226e-05
278	3.555183793e-05
279	3.527151288e-05
280	3.487355028e-05
281	3.474341461e-05
282	3.459677763e-05
283	3.448409424e-05
284	3.436628543e-05
285	3.425945929e-05
286	3.408526727e-05
287	3.395277551e-05
288	3.379747516e-05
289	3.3491305e-05
290	3.337525909e-05
291	3.327795175e-05
292	3.313894955e-05
293	3.286857398e-05
294	3.265171637e-05
295	3.238677592e-05
296	3.22280594e-05
297	3.209493373e-05
298	3.18830181e-05
299	3.175049613e-05
300	3.157027263e-05
301	3.144343211e-05
302	3.121871774e-05
303	3.106977959e-05
304	3.093285438e-05
305	3.060032353e-05
306	3.046393548e-05
307	3.035540393e-05
308	3.021742799e-05
309	3.010132039e-05
310	3.005681654e-05
311	2.995029019e-05
312	2.987637358e-05
313	2.979007715e-05
314	2.969281505e-05
315	2.948433375e-05
316	2.934636772e-05
317	2.927126147e-05
318	2.914056101e-05
319	2.89354765e-05
320	2.876165309e-05
321	2.859294553e-05
322	2.840489229e-05
323	2.833106713e-05
324	2.821808428e-05
325	2.812565978e-05
326	2.803681137e-05
327	2.798532944e-05
328	2.780254852e-05
329	2.764512292e-05
330	2.753281579e-05
331	2.747817569e-05
332	2.729647899e-05
333	2.716294668e-05
334	2.701450068e-05
335	2.6855568e-05
336	2.674841094e-05
337	2.666821588e-05
338	2.656701658e-05
339	2.647488783e-05
340	2.641297366e-05
341	2.6351871e-05
342	2.626194986e-05
343	2.616072347e-05
344	2.601744009e-05
345	2.577026667e-05
346	2.573740694e-05
347	2.563590403e-05
348	2.55073028e-05
349	2.547916849e-05
350	2.543764018e-05
351	2.538114303e-05
352	2.533622371e-05
353	2.52459825e-05
354	2.51717418e-05
355	2.513480123e-05
356	2.505177161e-05
357	2.499580994e-05
358	2.478586418e-05
359	2.474765744e-05
360	2.468719228e-05
361	2.460310991e-05
362	2.451228781e-05
363	2.443713916e-05
364	2.434671667e-05
365	2.422359046e-05
366	2.412963242e-05
367	2.407787308e-05
368	2.402117822e-05
369	2.394831714e-05
370	2.373783021e-05
371	2.36422297e-05
372	2.351473034e-05
373	2.341969917e-05
374	2.33056779e-05
375	2.325942852e-05
376	2.318747436e-05
377	2.301511449e-05
378	2.297904331e-05
379	2.280699188e-05
380	2.271871454e-05
381	2.256250872e-05
382	2.25129758e-05
383	2.241745797e-05
384	2.221845551e-05
385	2.214438371e-05
386	2.208186417e-05
387	2.195790581e-05
388	2.185254572e-05
389	2.181338943e-05
390	2.173475055e-05
391	2.160590611e-05
392	2.151134857e-05
393	2.147154098e-05
394	2.139074834e-05
395	2.135707399e-05
396	2.130675009e-05
397	2.11578756e-05
398	2.110233614e-05
399	2.104488817e-05
400	2.09716599e-05
401	2.091644575e-05
402	2.087482871e-05
403	2.080702936e-05
404	2.077296901e-05
405	2.06147778e-05
406	2.057842476e-05
407	2.052354856e-05
408	2.040629531e-05
409	2.037262632e-05
410	2.024499599e-05
411	2.018937803e-05
412	2.013575233e-05
413	2.005270195e-05
414	1.991014543e-05
415	1.982628727e-05
416	1.978065066e-05
417	1.976221572e-05
418	1.969277772e-05
419	1.965370535e-05
420	1.960091538e-05
421	1.949143536e-05
422	1.946884602e-05
423	1.94118088e-05
424	1.93598898e-05
425	1.932482584e-05
426	1.927355453e-05
427	1.920335784e-05
428	1.913151732e-05
429	1.907094495e-05
430	1.89687294e-05
431	1.892071867e-05
432	1.88896229e-05
433	1.885929254e-05
434	1.880145604e-05
435	1.873101174e-05
436	1.86943642e-05
437	1.858741244e-05
438	1.856154675e-05
439	1.848318778e-05
440	1.840141693e-05
441	1.835018975e-05
442	1.830498371e-05
443	1.82527824e-05
444	1.810404374e-05
445	1.806173605e-05
446	1.802175198e-05
447	1.792015274e-05
448	1.783672543e-05
449	1.778302546e-05
450	1.769158341e-05
451	1.766952472e-05
452	1.762899868e-05
453	1.755048188e-05
454	1.751195435e-05
455	1.747063763e-05
456	1.738711799e-05
457	1.735108353e-05
458	1.728598256e-05
459	1.726583468e-05
460	1.724692671e-05
461	1.723093051e-05
462	1.718858031e-05
463	1.715997307e-05
464	1.713704971e-05
465	1.71094652e-05
466	1.705897169e-05
467	1.703954043e-05
468	1.698621408e-05
469	1.694516365e-05
470	1.688673368e-05
471	1.687182122e-05
472	1.677333634e-05
473	1.671128272e-05
474	1.666634791e-05
475	1.663922535e-05
476	1.658984537e-05
477	1.654889016e-05
478	1.650989522e-05
479	1.645940771e-05
480	1.642357289e-05
481	1.641008937e-05
482	1.634065234e-05
483	1.630988056e-05
484	1.630003454e-05
485	1.624776368e-05
486	1.619563983e-05
487	1.616826241e-05
488	1.612740975e-05
489	1.605178689e-05
490	1.601841365e-05
491	1.599975868e-05
492	1.59544925e-05
493	1.592105212e-05
494	1.590273248e-05
495	1.587248551e-05
496	1.58362086e-05
497	1.580833931e-05
498	1.577596768e-05
499	1.575444382e-05
500	1.573220268e-05
501	1.566102454e-05
502	1.564320881e-05
503	1.556211047e-05
504	1.550915852e-05
505	1.544341922e-05
